n,q,p,l,v,d
0,0.004264,0.995736,100000,1,100000
1,0.000491,0.999509,99573.623,0.943396,93937.38019
2,0.000382,0.999618,99524.719,0.889996,88576.64597
3,0.000306,0.999694,99486.702,0.839619,83530.95337
4,0.000258,0.999742,99456.300,0.792094,78778.70486
5,0.000236,0.999764,99430.610,0.747258,74300.33615
6,0.000233,0.999767,99407.098,0.704961,70078.08146
7,0.000226,0.999774,99383.953,0.665057,66096.00489
8,0.000215,0.999785,99361.536,0.627412,62340.65686
9,0.000204,0.999796,99340.209,0.591898,58799.31704
10,0.000189,0.999811,99319.970,0.558395,55459.75269
11,0.000186,0.999814,99301.181,0.526788,52310.62341
12,0.000202,0.999798,99282.757,0.496969,49340.4884
13,0.00022,0.99978,99262.684,0.468839,46538.21956
14,0.00024,0.99976,99240.815,0.442301,43894.30823
15,0.000262,0.999738,99216.990,0.417265,41399.78351
16,0.000285,0.999715,99191.035,0.393646,39046.18239
17,0.000311,0.999689,99162.759,0.371364,36825.52028
18,0.000338,0.999662,99131.956,0.350344,34730.26525
19,0.000369,0.999631,99098.401,0.330513,32753.31076
20,0.000402,0.999598,99061.849,0.311805,30887.95285
21,0.000438,0.999562,99022.034,0.294155,29127.86639
22,0.000477,0.999523,98978.666,0.277505,27467.0842
23,0.00052,0.99948,98931.429,0.261797,25899.97718
24,0.000567,0.999433,98879.981,0.246979,24421.23411
25,0.000617,0.999383,98823.948,0.232999,23025.84465
26,0.000673,0.999327,98762.927,0.21981,21709.08175
27,0.000733,0.999267,98696.474,0.207368,20466.48565
28,0.000799,0.999201,98624.112,0.19563,19293.84909
29,0.000871,0.999129,98545.319,0.184557,18187.20269
30,0.000949,0.999051,98459.530,0.17411,17142.80171
31,0.001034,0.998966,98366.132,0.164255,16157.11326
32,0.001126,0.998874,98264.456,0.154957,15226.80436
33,0.001227,0.998773,98153.781,0.146186,14348.73057
34,0.001337,0.998663,98033.320,0.137912,13519.92529
35,0.001457,0.998543,97902.222,0.130105,12737.58996
36,0.001588,0.998412,97759.565,0.122741,11999.08445
37,0.00173,0.99827,97604.348,0.115793,11301.91794
38,0.001885,0.998115,97435.490,0.109239,10643.74084
39,0.002054,0.997946,97251.818,0.103056,10022.33655
40,0.002238,0.997762,97052.064,0.097222,9435.614032
41,0.002439,0.997562,96834.861,0.091719,8881.600975
42,0.002657,0.997343,96598.729,0.086527,8358.436972
43,0.002895,0.997105,96342.072,0.08163,7864.367082
44,0.003154,0.996846,96063.170,0.077009,7397.736197
45,0.003437,0.996563,95760.170,0.07265,6956.983471
46,0.003744,0.996256,95431.080,0.068538,6540.636822
47,0.004079,0.995921,95073.759,0.064658,6147.308346
48,0.004445,0.995555,94685.910,0.060998,5775.689348
49,0.004842,0.995158,94265.074,0.057546,5424.546234
50,0.005275,0.994725,93808.619,0.054288,5092.71625
51,0.005747,0.994253,93313.737,0.051215,4779.103708
52,0.006261,0.993739,92777.438,0.048316,4482.676329
53,0.006821,0.993179,92196.543,0.045582,4202.461821
54,0.00743,0.99257,91567.683,0.043001,3937.544734
55,0.008094,0.991906,90887.299,0.040567,3687.063435
56,0.008817,0.991183,90151.642,0.038271,3450.20728
57,0.009604,0.990396,89356.776,0.036105,3226.213997
58,0.010461,0.989539,88498.590,0.034061,3014.367272
59,0.011394,0.988606,87572.808,0.032133,2813.994374
60,0.01241,0.98759,86575.010,0.030314,2624.464075
61,0.013515,0.986485,85500.651,0.028598,2445.184532
62,0.014718,0.985282,84345.099,0.02698,2275.601481
63,0.016028,0.983972,83103.672,0.025453,2115.196415
64,0.017453,0.982547,81771.686,0.024012,1963.48495
65,0.019004,0.980996,80344.521,0.022653,1820.015235
66,0.02069,0.97931,78817.687,0.02137,1684.366443
67,0.022525,0.977475,77186.918,0.020161,1556.147384
68,0.024521,0.975479,75448.266,0.01902,1434.995115
69,0.026691,0.973309,73598.221,0.017943,1320.573614
70,0.02905,0.97095,71633.845,0.016927,1212.572444
71,0.031728,0.968272,69552.917,0.015969,1110.70548
72,0.035059,0.964941,67346.127,0.015065,1014.589408
73,0.038576,0.961424,64985.052,0.014213,923.602934
74,0.042339,0.957661,62478.212,0.013408,837.711661
75,0.04648,0.95352,59832.947,0.012649,756.833769
76,0.051,0.949,57051.893,0.011933,680.807453
77,0.056121,0.943879,54142.269,0.011258,609.515603
78,0.061977,0.938023,51103.725,0.01062,542.744042
79,0.0686,0.9314,47936.449,0.010019,480.288847
80,0.075837,0.924163,44647.997,0.009452,422.019737
81,0.084656,0.915344,41262.046,0.008917,367.938871
82,0.094067,0.905933,37768.963,0.008412,317.726993
83,0.1039,0.8961,34216.144,0.007936,271.546526
84,0.114757,0.885243,30661.085,0.007487,229.559269
85,0.126902,0.873098,27142.500,0.007063,191.712885
86,0.139419,0.860581,23698.065,0.006663,157.909575
87,0.154812,0.845188,20394.104,0.006286,128.201865
88,0.171136,0.828864,17236.851,0.00593,102.221391
89,0.188414,0.811586,14287.000,0.005595,79.9317
90,0.205412,0.794588,11595.134,0.005278,61.199503
91,0.218466,0.781534,9213.357,0.004979,45.875854
92,0.235277,0.764723,7200.555,0.004697,33.824108
93,0.255738,0.744262,5506.426,0.004432,24.401941
94,0.279369,0.720631,4098.226,0.004181,17.133442
95,0.306693,0.693307,2953.307,0.003944,11.648002
96,0.332095,0.667905,2047.548,0.003721,7.618526
97,0.35875,0.64125,1367.568,0.00351,4.800429
98,0.373535,0.626465,876.953,0.003312,2.904032
99,0.395354,0.604646,549.380,0.003124,1.716296
100,0.422979,0.577021,332.181,0.002947,0.979011
101,0.448709,0.551291,191.675,0.00278,0.532934
102,0.476657,0.523343,105.669,0.002623,0.277171
103,0.507011,0.492989,55.301,0.002475,0.136845
104,0.539955,0.460045,27.263,0.002334,0.063644
105,0.575348,0.424652,12.542,0.002202,0.027622
106,0.612165,0.387835,5.326,0.002078,0.011066
107,0.650478,0.349522,2.066,0.00196,0.004049
108,0.68993,0.31007,0.722,0.001849,0.001335
109,0.731382,0.268618,0.224,0.001744,0.000391
110,0.774482,0.225518,0.060,0.001646,0.000099
111,1,0,0.014,0.001553,0.000021
